COLUMN,STANDARD,OWNER,ADMIN
submission_notes,VIEW,EDIT,EDIT
request_status,,,EDIT
submitter_contact_info,,EDIT,EDIT
location_described_submitted,VIEW,EDIT,EDIT
record_type,,,EDIT
archive_reason,,,EDIT
date_created,VIEW,VIEW,VIEW
date_status_last_changed,,,VIEW
coverage_range,VIEW,EDIT,EDIT
data_requirements,VIEW,EDIT,EDIT
record_types_required,,,EDIT
github_issue_url,VIEW,VIEW,EDIT
internal_notes,,,EDIT
target_date,VIEW,EDIT,EDIT
pdap_response,,,EDIT
volunteers_can_contact_requestor,,EDIT,EDIT
id,VIEW,VIEW,VIEW
